,CLL,,,,MPN,,,,MDS,,,,Any blood cancer,cancer,,
9+,0.036,27.8,0.68,166,0.00026,90,10.5,354,1,0,0,270,0.0024,12.1,2.4,37.8
9q-,1,0,0,271,1,0,0,399,1,0,0,661,1,0,0,37.8
9p=,1,0,0,31.3,6.30E-52,402,239,671,1,0,0,85.8,1.90E-29,33.5,21.1,51.2
9q=,1,0,0,24,1,0,0,38.8,1,0,0,66,0.63,0,0,3.56
10q-,1,0,0,38.4,1,0,0,54.4,1,0,0,121,1,0,0,5.4
10p=,1,0,0,227,1,0,0,341,1,0,0,701,1,0,0,32.4
10q=,1,0,0,110,1,0,0,161,1,0,0,312,1,0,0,16
11p-,1,0,0,199,1,0,0,297,1,0,0,516,1,0,0,30.3
11q-,0.00012,33.8,6.79,103,1,0,0,70.4,1,0,0,112,2.30E-08,15.1,6.71,29.9
11p=,1,0,0,17.4,1,0,0,26.1,1,0,0,48.1,0.41,0,0,2.53
11q=,0.17,5.52,0.14,31.5,0.11,8.79,0.22,50.5,0.07,14.1,0.35,82.3,0.00032,5.71,2.26,12
12+,8.90E-42,142,86.5,225,0.11,8.46,0.21,48.6,0.077,12.8,0.32,74.9,4.80E-35,26.9,18.1,38.9
12p-,1,0,0,431,1,0,0,769,1,0,0,1270,1,0,0,66.2
12q-,1,0,0,263,0.011,98.6,2.37,628,1,0,0,680,0.11,9.2,0.22,57.4
12p=,1,0,0,227,1,0,0,339,1,0,0,709,1,0,0,32.8
12q=,1,0,0,41.9,1,0,0,66.9,1,0,0,128,1,0,0,6.27
13q-,1.20E-54,212,133,327,1,0,0,38.4,1,0,0,56.5,6.10E-33,28.9,19,42.6
13q=,1.40E-11,49.5,20.8,102,1,0,0,34.4,1,0,0,55.7,4.70E-06,7.71,3.47,14.9
14q+,1,0,0,37.5,1,0,0,65.2,0.041,24.3,0.6,144,0.49,1.5,0.04,8.55
14q-,2.30E-09,109,33.5,276,1,0,0,139,1,0,0,215,8.70E-08,21.7,8.31,47.9
14q=,1,0,0,12.2,0.18,5.14,0.13,29.3,1,0,0,33.6,0.062,2.4,0.77,5.67
15q+,0.14,6.8,0.17,39.4,1,0,0,47.1,1,0,0,56.2,0.086,2.95,0.6,8.84
15q-,0.011,94.6,2.21,640,1,0,0,700,1,0,0,1190,0.074,13.9,0.33,93.1
15q=,1,0,0,20.1,1,0,0,31.5,1,0,0,58,1,0.81,0.02,4.54
16p-,1,0,0,73.1,1,0,0,115,1,0,0,235,1,0,0,10.6
16q-,0.00018,115,12.9,472,1,0,0,362,1,0,0,595,0.0074,16.9,1.91,69.5
16p=,1,0,0,32.7,1,0,0,53,1,0,0,91.1,0.18,2.6,0.31,9.57
16q=,1,0,0,42.6,0.057,17.4,0.43,101,1,0,0,111,0.46,1.62,0.04,9.25
17p-,1,0,0,56.2,1,0,0,91.5,1,0,0,135,0.083,4.27,0.51,16
17q-,1,0,0,154,1,0,0,258,1,0,0,403,0.16,5.88,0.14,35.5
17p=,1,0,0,107,1,0,0,164,1,0,0,277,1,0,0,15.3
17q=,1,0,0,28.6,1,0,0,43.8,1,0,0,80.5,0.6,1.09,0.03,6.19
18+,1.00E-06,58.9,15.5,159,1,0,0,92.3,1,0,0,145,8.10E-07,15.2,5.91,32.9
18p-,1,0,0,330,1,0,0,581,1,0,0,974,0.085,12.1,0.28,80.1
18q=,1,0,0,121,1,0,0,188,1,0,0,347,1,0,0,17.6
19+,1,0,0,301,1,0,0,463,1,0,0,842,1,0,0,42.6
19p=,1,0,0,61.9,1,0,0,97,0.023,45.3,1.11,271,0.35,2.36,0.06,13.5
19q=,1,0,0,50.4,0.047,21.1,0.53,123,0.00034,79.7,9.25,310,0.002,7.88,2.1,20.9
20q-,1,0,0,18.7,1,0,0,31,0.084,11.7,0.29,68.4,0.053,2.9,0.78,7.54
20p=,1,0,0,235,1,0,0,361,1,0,0,812,1,0,0,33.6
20q=,0.069,14.2,0.35,82,1,0,0,81.8,1,0,0,158,0.085,4.19,0.5,15.6
21q+,1,0,0,52.9,1,0,0,87.5,0.028,36.4,0.89,217,0.38,2.09,0.05,12
21q-,1,0,0,343,1,0,0,540,1,0,0,1090,0.08,12.8,0.3,82.9
21q=,1,0,0,66.2,1,0,0,101,1,0,0,173,0.34,2.46,0.06,14.2
22q+,0.088,11,0.27,63.2,1,0,0,71.1,1,0,0,108,0.00045,8.31,2.64,20.1
22q-,6.40E-16,188,75.5,404,0.027,37.8,0.93,224,1,0,0,233,2.20E-12,34.9,15.7,69.7
22q=,1,0,0,25.1,1,0,0,40.5,1,0,0,63.1,1,0.96,0.02,5.4
